population,lat,lon
10760,-11.93971324,-77.06252862
11172,-11.93978043,-77.0533504
11286,-11.93984732,-77.04417213
11281,-11.93991391,-77.0349938
16919,-11.94017727,-76.99827994
16921,-11.94024236,-76.98910134
15011,-11.94030715,-76.97992268
12568,-11.94037164,-76.97074398
3841,-11.94043584,-76.96156522
3270,-11.93040419,-77.09917138
12231,-11.93054055,-77.08081594
10670,-11.93060828,-77.07163813
10974,-11.93067571,-77.06246027
11279,-11.93074284,-77.05328235
11286,-11.93080968,-77.04410438
11284,-11.93087622,-77.03492636
13147,-11.93120441,-76.98903541
4474,-11.9313336,-76.97067866
1058,-11.93146159,-76.95232169
1100,-11.92129828,-77.1082792
2394,-11.92143513,-77.08992448
8546,-11.92157079,-77.07156953
11284,-11.92170525,-77.05321436
11284,-11.92183852,-77.03485897
9955,-11.92190471,-77.02568119
1033,-11.92235964,-76.96143524
2151,-11.9125333,-77.07150098
11281,-11.91266765,-77.05314642
11279,-11.91273439,-77.04396905
11284,-11.91280082,-77.03479163
11236,-11.91286695,-77.02561416
9995,-11.91293279,-77.01643663
5285,-11.91299832,-77.00725905
1459,-11.90356307,-77.06225554
8240,-11.90363005,-77.05307853
11279,-11.90369673,-77.04390147
11286,-11.90376311,-77.03472435
12501,-11.90382919,-77.02554718
4975,-11.8940487,-77.12642277
3676,-11.89418642,-77.10807009
5714,-11.89459244,-77.0530107
11128,-11.89465907,-77.04383394
12652,-11.89472539,-77.03465713
12691,-11.89479143,-77.02548026
10793,-11.89485716,-77.01630334
5498,-11.8850115,-77.12635258
1882,-11.88542078,-77.07129567
1628,-11.88548795,-77.06211933
9892,-11.8856214,-77.04376647
12682,-11.88568767,-77.03458996
12669,-11.88575365,-77.02541339
11731,-11.88581934,-77.01623677
4797,-11.88588472,-77.0070601
1120,-11.87590511,-77.13545809
5603,-11.87597431,-77.12628244
2506,-11.87604321,-77.11710673
3658,-11.87611181,-77.10793097
2929,-11.87631585,-77.08040334
6433,-11.87638326,-77.07122735
11075,-11.87645038,-77.0620513
4831,-11.8765172,-77.05287521
10953,-11.87664995,-77.03452284
9451,-11.87671588,-77.02534658
9336,-11.87678151,-77.01617026
